vote_number,senator_number,vote
229,18,Nay
229,19,Yea
229,50,Not Voting
229,51,Nay
229,52,Yea
229,53,Yea
229,54,Nay
229,55,Yea
229,56,Yea
229,57,Nay
229,58,Not Voting
229,29,Nay
229,30,Yea
229,31,Yea
229,32,Yea
229,33,Yea
229,34,Nay
229,35,Not Voting
229,36,Yea
229,37,Yea
229,38,Nay
229,39,Nay
229,40,Yea
229,41,Yea
229,42,Yea
229,43,Nay
229,44,Nay
229,45,Yea
229,46,Yea
229,47,Yea
229,48,Nay
229,49,Yea
228,0,Nay
228,1,Nay
228,2,Not Voting
228,3,Nay
228,4,Yea
228,5,Yea
228,6,Nay
228,7,Yea
228,8,Nay
228,9,Yea
228,10,Yea
228,11,Nay
228,12,Nay
228,13,Yea
228,14,Nay
228,15,Nay
228,16,Yea
228,17,Nay
228,18,Nay
228,19,Yea
228,50,Not Voting
228,51,Nay
228,52,Yea
228,53,Yea
228,54,Nay
228,55,Yea
228,56,Not Voting
228,57,Nay
228,58,Not Voting
228,29,Nay
228,30,Yea
228,31,Yea
228,32,Yea
228,33,Yea
228,34,Nay
228,35,Not Voting
228,36,Yea
228,37,Yea
228,38,Nay
228,39,Nay
228,40,Yea
228,41,Yea
228,42,Yea
228,43,Nay
228,44,Nay
228,45,Yea
228,46,Yea
228,47,Yea
228,48,Nay
228,49,Yea
227,0,Nay
227,1,Nay
227,2,Yea
227,3,Nay
227,4,Yea
227,5,Yea
227,6,Nay
227,7,Yea
227,8,Nay
227,9,Yea
227,10,Yea
227,11,Nay
227,12,Nay
227,13,Yea
227,14,Nay
227,15,Nay
227,16,Yea
227,17,Nay
227,18,Nay
227,19,Yea
227,50,Not Voting
227,51,Nay
227,52,Not Voting
227,53,Yea
227,54,Nay
227,55,Yea
227,56,Yea
227,57,Nay
227,58,Not Voting
227,29,Nay
227,30,Yea
227,31,Yea
227,32,Yea
227,33,Yea
227,34,Nay
227,35,Not Voting
227,36,Yea
227,37,Yea
227,38,Nay
227,39,Nay
227,40,Yea
227,41,Yea
227,42,Nay
227,43,Nay
227,44,Nay
227,45,Yea
227,46,Yea
227,47,Yea
227,48,Nay
227,49,Nay
226,0,Nay
226,1,Nay
226,2,Yea
226,3,Nay
226,4,Yea
226,5,Yea
226,6,Nay
226,7,Yea
226,8,Nay
226,9,Yea
226,10,Yea
226,11,Nay
226,12,Nay
226,13,Yea
226,14,Nay
226,15,Nay
226,16,Yea
226,17,Nay
226,18,Nay
226,19,Yea
226,50,Not Voting
226,51,Nay
226,52,Not Voting
226,53,Yea
226,54,Nay
226,55,Yea
226,56,Yea
226,57,Nay
226,58,Not Voting
226,29,Nay
226,30,Yea
226,31,Yea
226,32,Yea
226,33,Yea
226,34,Nay
226,35,Not Voting
226,36,Nay
226,37,Yea
226,38,Nay
226,39,Nay
226,40,Yea
226,41,Yea
226,42,Nay
226,43,Nay
226,44,Nay
226,45,Yea
226,46,Yea
226,47,Yea
226,48,Nay
226,49,Nay
225,0,Nay
225,1,Nay
225,2,Yea
225,3,Nay
225,4,Yea
225,5,Yea
225,6,Nay
225,7,Yea
225,8,Nay
225,9,Yea
225,10,Yea
225,11,Nay
225,12,Nay
225,13,Yea
225,14,Nay
225,15,Nay
225,16,Yea
225,17,Nay
225,18,Nay
225,19,Yea
225,50,Not Voting
225,51,Nay
225,52,Not Voting
225,53,Yea
225,54,Nay
225,55,Yea
225,56,Yea
225,57,Nay
225,58,Not Voting
225,29,Nay
225,30,Yea
225,31,Yea
225,32,Yea
225,33,Yea
225,34,Nay
225,35,Not Voting
225,36,Nay
225,37,Yea
225,38,Nay
225,39,Nay
225,40,Yea
225,41,Yea
225,42,Nay
225,43,Nay
225,44,Nay
225,45,Yea
225,46,Yea
225,47,Yea
225,48,Nay
225,49,Nay
224,0,Nay
224,1,Nay
224,2,Yea
224,3,Nay
224,4,Yea
224,5,Yea
224,6,Nay
224,7,Yea
224,8,Nay
224,9,Yea
224,10,Yea
224,11,Nay
224,12,Nay
224,13,Yea
224,14,Nay
224,15,Nay
224,16,Yea
224,17,Nay
224,18,Nay
224,19,Yea
224,50,Nay
224,51,Nay
224,52,Yea
224,53,Yea
224,54,Nay
224,55,Yea
224,56,Yea
224,57,Nay
224,58,Not Voting
224,29,Nay
224,30,Yea
224,31,Yea
224,32,Yea
224,33,Yea
224,34,Nay
224,35,Not Voting
224,36,Nay
224,37,Yea
224,38,Nay
224,39,Nay
224,40,Yea
224,41,Yea
224,42,Nay
224,43,Nay
224,44,Nay
224,45,Yea
224,46,Yea
224,47,Yea
224,48,Nay
224,49,Nay
223,0,Nay
223,1,Nay
223,2,Yea
223,3,Nay
223,4,Yea
223,5,Yea
223,6,Nay
223,7,Yea
223,8,Nay
223,9,Yea
223,10,Yea
223,11,Nay
223,12,Nay
223,13,Yea
223,14,Nay
223,15,Nay
223,16,Yea
223,17,Nay
223,18,Nay
223,19,Yea
223,50,Nay
223,51,Nay
223,52,Yea
223,53,Yea
223,54,Nay
223,55,Yea
223,56,Yea
223,57,Nay
223,58,Not Voting
223,29,Nay
223,30,Yea
223,31,Yea
223,32,Yea
223,33,Yea
223,34,Nay
223,35,Not Voting
223,36,Nay
223,37,Yea
223,38,Nay
223,39,Nay
223,40,Yea
223,41,Yea
223,42,Nay
223,43,Nay
223,44,Nay
223,45,Yea
223,46,Not Voting
223,47,Yea
223,48,Nay
223,49,Nay
222,0,Nay
222,1,Nay
222,2,Yea
222,3,Nay
222,4,Yea
222,5,Yea
222,6,Nay
222,7,Yea
222,8,Nay
222,9,Yea
222,10,Yea
222,11,Nay
222,12,Nay
222,13,Yea
222,14,Nay
222,15,Nay
222,16,Yea
222,17,Nay
222,18,Nay
222,19,Yea
222,50,Nay
222,51,Nay
222,52,Yea
222,53,Yea
222,54,Nay
222,55,Yea
222,56,Yea
222,57,Nay
222,58,Not Voting
222,29,Nay
222,30,Yea
222,31,Yea
222,32,Yea
222,33,Yea
222,34,Nay
222,35,Not Voting
222,36,Nay
222,37,Not Voting
222,38,Nay
222,39,Nay
222,40,Yea
222,41,Yea
222,42,Nay
222,43,Nay
222,44,Nay
222,45,Yea
222,46,Not Voting
222,47,Yea
222,48,Yea
222,49,Nay
221,0,Yea
221,1,Yea
221,2,Yea
221,3,Yea
221,4,Yea
221,5,Yea
221,6,Yea
221,7,Yea
221,8,Yea
221,9,Yea
221,10,Yea
221,11,Yea
221,12,Yea
221,13,Yea
221,14,Yea
